ip,app,device,os,channel,click_time,attributed_time,is_attributed
87540,12,1,13,497,2017-11-07 09:30:38,,0
105560,25,1,17,259,2017-11-07 13:40:27,,0
101424,12,1,19,212,2017-11-07 18:05:24,,0
94584,13,1,13,477,2017-11-07 04:58:08,,0
68413,12,1,1,178,2017-11-09 09:00:09,,0
93663,3,1,17,115,2017-11-09 01:22:13,,0
17059,1,1,17,135,2017-11-09 01:17:58,,0
121505,9,1,25,442,2017-11-07 10:01:53,,0
192967,2,2,22,364,2017-11-08 09:35:17,,0
143636,3,1,19,135,2017-11-08 12:35:26,,0
73839,3,1,22,489,2017-11-08 08:14:37,,0
34812,3,1,13,489,2017-11-07 05:03:14,,0
114809,3,1,22,205,2017-11-09 10:24:23,,0
114220,6,1,20,125,2017-11-08 14:46:16,,0
36150,2,1,13,205,2017-11-07 00:54:09,,0
72116,25,2,19,259,2017-11-08 23:17:45,,0
5314,2,1,2,477,2017-11-09 07:33:41,,0
106598,3,1,20,280,2017-11-09 03:44:35,,0
72065,20,2,90,259,2017-11-06 23:14:08,,0
37301,14,1,13,349,2017-11-06 20:07:00,,0
28735,12,1,19,265,2017-11-09 09:55:22,,0
66918,64,1,25,459,2017-11-08 17:01:58,,0
25761,9,1,10,215,2017-11-08 02:05:37,,0
8362,7,1,19,101,2017-11-07 10:30:00,,0
45257,3,1,18,280,2017-11-07 01:35:31,,0
145896,64,1,13,459,2017-11-07 03:58:58,,0
162976,3,1,13,115,2017-11-07 16:19:05,,0
52432,1,1,13,115,2017-11-07 17:22:52,,0
135690,12,1,40,122,2017-11-07 06:39:04,,0
139137,12,1,13,497,2017-11-07 10:11:50,,0
48846,3,1,19,379,2017-11-09 03:14:43,,0
70747,64,1,15,459,2017-11-07 14:00:50,,0
10831,15,1,19,386,2017-11-09 12:39:11,,0
89242,1,1,27,124,2017-11-07 09:37:21,,0
140138,12,1,13,265,2017-11-07 07:01:20,,0
28411,14,1,13,442,2017-11-06 23:45:32,,0
127888,13,1,23,477,2017-11-06 16:24:24,,0
75943,2,1,53,477,2017-11-07 13:28:54,,0
87879,3,1,13,115,2017-11-07 03:20:59,,0
250933,3,1,13,280,2017-11-08 11:09:48,,0
133933,12,1,13,140,2017-11-07 11:11:53,,0
35096,18,1,19,107,2017-11-09 15:26:37,,0
49431,15,1,49,245,2017-11-07 23:11:39,,0
53365,15,1,19,111,2017-11-09 04:23:01,,0
92599,25,2,13,259,2017-11-09 10:04:27,,0
107148,15,1,13,140,2017-11-07 00:49:13,,0
116677,9,1,13,134,2017-11-08 00:56:33,,0
11051,15,1,19,245,2017-11-08 02:14:22,,0
48240,2,1,19,122,2017-11-08 14:40:36,,0
92488,14,1,18,401,2017-11-08 17:33:47,,0
74999,11,1,13,137,2017-11-09 15:17:12,,0
123221,15,1,20,245,2017-11-07 15:31:06,,0
4019,12,1,19,265,2017-11-09 01:10:59,,0
40168,8,1,13,145,2017-11-07 02:22:07,,0
328403,15,1,13,278,2017-11-09 03:20:31,,0
134466,64,1,13,459,2017-11-08 10:42:25,,0
122354,9,1,19,134,2017-11-07 23:16:58,,0
104645,14,1,19,379,2017-11-09 12:57:00,,0
184757,3,1,13,409,2017-11-08 09:31:27,,0
3488,3,1,22,115,2017-11-07 00:12:44,,0
63994,3,1,13,115,2017-11-07 03:21:03,,0
52076,23,1,10,153,2017-11-08 16:41:39,,0
88604,6,1,17,459,2017-11-06 16:28:06,,0
9073,3,1,37,466,2017-11-08 04:55:00,,0
105861,3,1,10,442,2017-11-06 20:25:19,,0
25114,18,1,13,107,2017-11-08 02:07:55,,0
25876,21,1,26,128,2017-11-08 09:57:39,,0
61941,64,1,41,459,2017-11-07 23:07:23,,0
79827,11,1,19,481,2017-11-08 18:21:09,,0
99641,15,1,22,386,2017-11-08 03:46:58,,0
171729,9,1,13,334,2017-11-07 10:31:02,,0
257816,3,1,19,424,2017-11-09 12:29:52,,0
100494,64,1,8,459,2017-11-07 13:32:03,,0
5348,8,1,11,145,2017-11-08 13:17:06,,0
137208,2,1,13,212,2017-11-07 10:24:13,,0
81356,56,1,9,406,2017-11-09 11:57:10,,0
58128,15,1,13,245,2017-11-07 12:29:28,,0
71483,3,1,9,115,2017-11-08 00:59:09,,0
7521,12,1,15,409,2017-11-09 12:14:23,,0
100066,18,1,14,134,2017-11-07 09:12:27,,0
259930,15,1,28,245,2017-11-08 11:30:35,,0
30240,3,1,17,137,2017-11-08 16:04:19,,0
63109,23,1,25,153,2017-11-09 01:43:11,,0
5314,28,1,19,135,2017-11-07 14:11:43,,0
36311,3,1,19,115,2017-11-09 00:57:14,,0
44494,9,1,17,489,2017-11-09 11:26:20,,0
111021,36,1,15,373,2017-11-08 05:49:05,,0
210555,9,1,8,134,2017-11-06 16:13:31,,0
6414,2,1,47,377,2017-11-09 14:22:16,,0
123729,18,1,10,107,2017-11-08 23:07:32,,0
73040,14,1,19,401,2017-11-07 16:49:07,,0
334558,2,1,13,435,2017-11-09 05:45:08,,0
123994,1,1,19,101,2017-11-09 14:27:57,,0
94536,3,1,25,424,2017-11-07 04:50:30,,0
127351,25,1,13,259,2017-11-07 16:27:20,,0
2600,12,1,18,265,2017-11-07 19:16:25,,0
99926,12,1,13,245,2017-11-06 18:06:05,,0
114878,2,2,9,477,2017-11-07 02:35:23,,0
173847,3,1,13,452,2017-11-08 14:57:14,,0
145747,12,1,13,178,2017-11-07 13:54:07,,0
94081,9,1,18,445,2017-11-09 02:52:27,,0
74725,9,1,13,334,2017-11-08 10:55:35,,0
51895,18,1,17,107,2017-11-09 07:26:02,,0
75431,9,1,13,334,2017-11-08 11:34:40,,0
104922,14,1,3,442,2017-11-08 04:52:24,,0
173247,14,1,6,439,2017-11-06 23:20:50,,0
124006,12,1,13,242,2017-11-07 05:15:40,,0
77310,15,1,19,315,2017-11-07 15:04:21,,0
61667,8,2,97,259,2017-11-07 05:00:39,,0
118349,21,1,19,128,2017-11-09 01:07:36,,0
46650,2,1,13,237,2017-11-09 03:54:49,,0
337099,3,1,19,280,2017-11-09 07:16:38,,0
34067,1,1,15,134,2017-11-07 15:06:06,,0
61635,15,1,10,3,2017-11-08 11:02:22,,0
145260,14,1,19,480,2017-11-08 04:48:54,,0
110245,8,1,22,145,2017-11-07 22:41:22,,0
77730,15,1,13,245,2017-11-07 16:17:45,,0
108831,18,1,10,107,2017-11-09 06:36:51,,0
124794,23,1,13,153,2017-11-08 13:46:43,,0
61706,14,1,15,439,2017-11-09 12:02:20,,0
91175,23,1,13,153,2017-11-07 01:20:11,,0
82618,18,1,19,107,2017-11-08 09:51:04,,0
81970,7,1,18,101,2017-11-09 11:33:43,,0
301417,22,1,19,116,2017-11-08 23:20:26,,0
187501,12,1,41,245,2017-11-09 01:39:34,,0
20295,3,1,13,280,2017-11-08 15:58:40,,0
25885,3,1,19,424,2017-11-09 01:47:06,,0
104753,1,1,19,125,2017-11-07 09:44:02,,0
191339,28,1,19,135,2017-11-07 10:36:50,,0
103208,26,1,22,121,2017-11-09 15:32:16,,0
92092,23,1,19,153,2017-11-07 11:52:05,,0
82427,3,1,11,280,2017-11-08 08:53:30,,0
47543,13,1,19,400,2017-11-07 13:40:51,,0
335694,2,1,8,435,2017-11-09 05:05:49,,0
175559,3,1,8,442,2017-11-08 03:42:29,,0
158312,14,1,13,439,2017-11-07 05:31:24,,0
108040,3,1,19,115,2017-11-08 09:27:05,,0
85072,17,2,9,280,2017-11-07 05:23:41,,0
197093,15,1,19,265,2017-11-07 23:36:05,,0
209540,2,1,18,477,2017-11-07 13:32:27,,0
79909,21,1,4,128,2017-11-07 19:22:18,,0
199702,18,1,17,376,2017-11-07 04:53:19,,0
40372,9,1,31,442,2017-11-08 00:40:29,,0
178124,2,1,13,469,2017-11-08 02:47:03,,0
18654,18,1,27,107,2017-11-07 08:55:35,,0
20309,8,1,13,140,2017-11-09 10:16:00,,0
74640,3,1,16,424,2017-11-09 01:09:02,,0
93460,15,1,13,130,2017-11-08 05:08:40,,0
80455,3,1,15,371,2017-11-07 01:46:16,,0
104729,12,1,6,140,2017-11-08 13:48:06,,0
58485,3,1,25,280,2017-11-08 07:14:46,,0
91885,3,1,16,442,2017-11-08 17:07:52,,0
111324,12,1,13,178,2017-11-07 03:20:24,,0
27342,12,1,19,259,2017-11-09 01:21:52,,0
153208,18,1,13,107,2017-11-07 16:05:27,,0
54868,12,1,6,259,2017-11-07 18:59:38,,0
278420,2,1,3,469,2017-11-08 11:32:53,,0
204614,9,1,3,466,2017-11-09 09:48:30,,0
85172,2,1,19,435,2017-11-09 12:38:59,,0
103161,13,1,3,400,2017-11-07 12:47:06,,0
59075,14,2,30,467,2017-11-09 11:13:17,,0
239191,3,1,19,452,2017-11-08 12:48:30,,0
85839,2,1,19,435,2017-11-07 06:57:07,,0
71424,3,1,22,280,2017-11-07 06:45:17,,0
63516,27,1,13,153,2017-11-09 12:05:34,,0
37919,6,1,19,459,2017-11-06 17:13:19,,0
43809,3,1,17,280,2017-11-08 11:11:50,,0
39454,6,1,13,125,2017-11-07 13:37:35,,0
8718,12,1,13,259,2017-11-09 02:07:48,,0
58950,2,1,19,237,2017-11-09 01:18:50,,0
86812,2,1,32,401,2017-11-07 12:01:09,,0
55805,18,1,16,107,2017-11-07 18:53:51,,0
175660,20,1,13,259,2017-11-08 01:13:51,,0
29785,14,1,19,113,2017-11-08 02:59:48,,0
88881,9,1,12,466,2017-11-09 11:46:39,,0
134615,12,1,9,178,2017-11-07 10:00:54,,0
34352,3,1,19,211,2017-11-08 06:03:58,,0
124320,3,1,17,409,2017-11-08 06:02:37,,0
80306,14,1,22,401,2017-11-08 23:52:23,,0
24830,3,2,19,280,2017-11-09 05:01:01,,0
195224,12,1,19,245,2017-11-07 07:55:58,,0
72805,26,1,6,121,2017-11-07 10:49:19,,0
93498,25,1,19,259,2017-11-09 09:58:21,,0
111685,22,1,22,116,2017-11-08 06:48:06,,0
83366,1,1,17,153,2017-11-09 02:30:02,,0
94844,3,1,53,452,2017-11-09 08:37:45,,0
105311,18,1,13,121,2017-11-09 08:21:52,,0
168144,3,1,20,280,2017-11-09 00:40:37,,0
20592,3,1,17,280,2017-11-09 05:58:55,,0
100002,3,1,41,280,2017-11-08 02:29:19,,0
37515,3,1,19,280,2017-11-08 15:59:24,,0
121357,3,1,13,280,2017-11-07 00:06:49,,0
63925,22,2,17,496,2017-11-07 08:52:29,,0
83366,12,1,6,265,2017-11-08 05:20:27,,0
26995,3,1,13,280,2017-11-07 05:49:46,,0
37836,2,1,19,219,2017-11-09 08:05:07,,0
11090,3,1,19,280,2017-11-08 09:08:18,,0
65785,3,1,19,280,2017-11-09 01:07:59,,0
94765,10,1,10,377,2017-11-08 04:28:13,,0
